ADDITIONAL_SEGMENT_VALUE,ADDITIONAL_SEGMENT_DESC,ACCT_TYPE,NATURAL_ACCT_SEGMENT_VALUE,NATURAL_ACCT_SEGMENT_DESC,BEGIN_BALANCE,TOTAL_DR,TOTAL_CR,END_BALANCE,ACCOUNTING_PERIOD_PARAM
101,FCDO,E,C103002,MBL-SME Loans-Variable Expenses,0,0,0,0,Jul-26
101,FCDO,E,C106002,CIC Transaction cost - Legal D.D & Documentation,0,0,0,0,Jul-26
101,FCDO,E,C107002,Strategic Investment - Pre & post investment cost,0,0,0,0,Jul-26
101,FCDO,E,C107003,Due diligence cost - Pre & post investment cost,0,0,0,0,Jul-26
101,FCDO,E,C108002,Credit - Pre & post investment cost,0,0,0,0,Jul-26
101,FCDO,E,C109001,CIC - Equity Deals,0,0,0,0,Jul-26
101,FCDO,E,C109002,Equity - Pre & post investment cost,0,0,0,0,Jul-26
101,FCDO,E,C130001,Capacity Building of Partners,0,0,0,0,Jul-26
101,FCDO,E,C130004,SEED Technical Assistance,0,0,0,0,Jul-26
101,FCDO,E,D105012,Secured Transaction Registry (STR),0,0,0,0,Jul-26
101,FCDO,E,D105013,SECP Overhead,0,0,0,0,Jul-26
101,FCDO,E,D107010,LEAP Consultancy,0,0,0,0,Jul-26
101,FCDO,E,D107011,Company Registry,0,0,0,0,Jul-26
101,FCDO,E,D107021,LEAP PMO,0,0,0,0,Jul-26
101,FCDO,E,D107022,SOC Implementation,0,0,0,0,Jul-26
101,FCDO,E,D107023,XBRL Implementation,0.00E+00,0,0,0.00E+00,Jul-26
101,FCDO,E,D107025,"W4: Technical Advisory, Industry/Int'l Expert Engagement, Learning/Networking Events",0,0,0,0,Jul-26
101,FCDO,E,D107051,"W2: Technical Advisory, Industry/Int'l Expert Engagement, Learning/Networking Events",0,0,0,0,Jul-26
101,FCDO,E,H101001,Bank Charges,0,0,0,0,Jul-26
101,FCDO,E,H103002,Capacity Building,0,25000,0,25000,Jul-26
101,FCDO,E,H104001,Travel,0,0,0,0,Jul-26
101,FCDO,E,H105001,HR Consultancies & Internships,0,0,0,0,Jul-26
101,FCDO,E,H106001,Electricity,0,0,0,0,Jul-26
101,FCDO,E,H106002,Telephone & Internet,0,0,0,0,Jul-26
101,FCDO,E,H106003,Communication reimbursement,0,0,0,0,Jul-26
101,FCDO,E,H106006,Generator Expenses,0,0,0,0,Jul-26
101,FCDO,E,H106007,Fuel reimbursement,0,0,0,0,Jul-26
