Department,Program,Stream,Account code,Account Name,Donor,Q1 Budget,Q2 Budget,Q3 Budget,Q4 Budget
Corporate Investment and Credit,,Credit,,,OSR,"350,000,000","375,000,000","375,000,000","375,000,000"
Corporate Investment and Credit,,Equity,,,OSR,0,0,0,"1,000,000,000"
Corporate Investment and Credit,,Green,,,OSR,0,0,"350,000,000","375,000,000"
Transaction cost,,Innovation Investment,I107004,WV/GFI: Technical Assistance through PFSL,OSR,"300,000","400,000","500,000","300,000"
Transaction cost,,Innovation Investment,,Litigation Fee for WV,OSR,"1,500,000","1,000,000",0,0
Transaction cost,,Innovation Investment,,PROPARCO Guarantee Fee,OSR,"9,800,000",0,0,0
Transaction cost,,Corporate Investment and Credit,C107002,Pre & post investment cost,OSR,"1,600,000","1,600,000","1,600,000","1,600,000"
Transaction cost,,Corporate Investment and Credit,C108002,Pre & post investment cost,OSR,"1,600,000","1,600,000","1,600,000","1,600,000"
Transaction cost,,Corporate Investment and Credit,C109002,Pre & post investment cost,OSR,"1,600,000","1,600,000","1,600,000","1,600,000"
Transaction cost,,Corporate Investment and Credit,C107003,Pre & post investment cost,OSR,"1,600,000","1,600,000","1,600,000","1,600,000"
Transaction cost,,Corporate Investment and Credit,C110002,Pre & post investment cost,OSR,"1,600,000","1,600,000","1,600,000","1,600,000"
Innovation Investment,,WV: Concessional Debt,,,OSR,"20,000,000","40,000,000","60,000,000","40,000,000"
Innovation Investment,,GFI: Concessional Debt,,,OSR,"25,000,000","15,000,000","20,000,000","15,000,000"
Innovation Investment,,WV: Agency Services - AP,,,OSR,"30,000,000","30,000,000","40,000,000","40,000,000"
Innovation Investment,,Wholesale Credit,,,OSR,0,"100,000,000",0,0
Innovation Investment,,HD: Debt Finance Product,,,OSR,"25,000,000","25,000,000","25,000,000","25,000,000"
Development Impact,,Assessment CIC Portfolio,,,OSR,"1,000,000",0,0,0
Development Impact,,Economic Impact of Digital Payments: Insights from Karandaaz Experiments,,,GF,0,"5,000,000","5,000,000","5,000,000"
Development Impact,,Third Party Monitoring of Karandaaz Projects,,,OSR,"1,454,248","4,362,745","4,362,745","7,620,261"
Development Impact,,Third Party Monitoring of Karandaaz Projects,,,GF,"1,045,752","3,137,255","3,137,255","5,479,739"
"Research, Marketing & Communications",,Communication and Marketing,K102014,"Web, Digital & Social Media",OSR,"548,750",548750,548750,"600,000"
"Research, Marketing & Communications",,Communication and Marketing,K102016,KRN Marketing Collateral,OSR,"375,000",375000,375000,"375,000"
"Research, Marketing & Communications",,Communication and Marketing,K102006,PR Services and Engagement Activities,OSR,"960,000","960,000","960,000","960,000"
"Research, Marketing & Communications",,Communication and Marketing,K102013,KRN Conference,OSR,"1,000,000",21500000,0,0
"Research, Marketing & Communications",,Communication and Marketing,K102013,KRN Conference,GF,"12,500,000",0,0,0
"Research, Marketing & Communications",,Communication and Marketing,K102017,Impact Investing Visibility and Outreach,OSR,0,3250000,1625000,"1,625,000"
"Research, Marketing & Communications",,Communication and Marketing,K103044,DFS Visibility & Outreach,GF,"5,000,000",5000000,5000000,"5,000,000"
"Research, Marketing & Communications",,Communication and Marketing,K102014,"Web, Digital & Social Media",GF,"548,750",548750,548750,"600,000"
"Research, Marketing & Communications",,Communication and Marketing,K102016,KRN Marketing Collateral,GF,"375,000",375000,375000,"375,000"
"Research, Marketing & Communications",,Communication and Marketing,K102006,PR Services and Engagement Activities,GF,"960,000","960,000","960,000","960,000"
"Research, Marketing & Communications",,Research and Insight,K102005,Green Economy- Developing Case Studies,OSR,"580,000",0,0,0
"Research, Marketing & Communications",,Research and Insight,,"Mapping Battery Demand in Pakistan: Solar, Mobility, Residential, and Industrial Applications",OSR,0,4500000,4500000,"6,000,000"
"Research, Marketing & Communications",,Research and Insight,K103021,Data Portal 2.0,GF,"1,250,000",1250000,1250000,"1,250,000"
"Research, Marketing & Communications",,Research and Insight,K103065,Knowledge Partnerships (FAW and SME Finance Forum Subscription),GF,"1,075,000",1525000,725000,"675,000"
"Research, Marketing & Communications",,Research and Insight,K102001,KFIS 2026 (on-going),GF,"5,525,000",2490000,0,0
"Research, Marketing & Communications",,Research and Insight,K102003,Alternate Revenue Models for National Payment System (on-going),GF,"2,300,000",0,0,0
"Research, Marketing & Communications",,Research and Insight,,The Impact of Digital Financial Inclusion on the Economy: Cross-Country Time Series Analysis,GF,0,1500000,1500000,"2,000,000"
Capacity Building of KRN,,Capacity Building,H103002,Capacity Building,OSR,0,0,0,10000000
Capacity Building of KRN,,Employee Engagement,H126002,Employee Engagement,OSR,"450,000","450,000","450,000","450,000"
Capacity Building of KRN,,Capacity Building,H103002,Capacity Building,GF,0,0,0,10000000
Capacity Building of KRN,,Employee Engagement,H126002,Employee Engagement,GF,"450,000","450,000","450,000","450,000"
Corporate Social Responsibility,,Corporate Social Responsibility,H128002,Corporate Social Responsibility,OSR,"625,000","625,000","625,000","625,000"
Corporate Social Responsibility,,Corporate Social Responsibility,H128002,Corporate Social Responsibility,GF,"625,000","625,000","625,000","625,000"
Administrative Expenses,,Office Supplies,H116001,Kitchen Supplies,OSR,"405,000","405,000","405,000","405,000"
Administrative Expenses,,Office Supplies,H116002,Cleaning Material,OSR,"25,500","25,500","25,500","25,500"
Administrative Expenses,,Office Supplies,H116003,Postage & Courier,OSR,"19,500","19,500","19,500","19,500"
Administrative Expenses,,Office Supplies,H116004,Office Supplies,OSR,"142,500","142,500","142,500","142,500"
Administrative Expenses,,Fee & Subscription,H126001,Fee & Subscription,OSR,"37,500","37,500","37,500","37,500"
Administrative Expenses,,Printing and stationery,H121002,Stationery Printing,OSR,"50,000","50,000","50,000","50,000"
Administrative Expenses,,Utilities,H106001,Electricity,OSR,"345,000","345,000","345,000","345,000"
Administrative Expenses,,Utilities,H106002,Telephone & Internet,OSR,"68,063","68,063","68,063","68,063"
Administrative Expenses,,Utilities,H106006,Generator Expenses,OSR,"222,750","222,750","222,750","222,750"
Administrative Expenses,,Office Rent,H117001,Office Rent- Islamabad,OSR,"5,828,403","5,828,403","5,828,403","5,828,403"
Administrative Expenses,,Repair and maintenance,H124001,Office Repair & Maintenance,OSR,"125,000","125,000","125,000","125,000"
Administrative Expenses,,Repair and maintenance,H124002,Equipment Repair & Maintenance,OSR,"75,000","75,000","75,000","75,000"
Administrative Expenses,,Professional charges,H122002,External Audit,OSR,"485,884","485,884","485,884","485,884"
Administrative Expenses,,Professional charges,H122010,External Audit Fee - Group Audits,OSR,"916,050","916,050","916,050","916,050"
Administrative Expenses,,Professional charges,H122004,Legal Charges,OSR,"375,000","375,000","375,000","375,000"
Administrative Expenses,,Professional charges,H122005,Out of Pocket Ext-Audit,OSR,0,0,0,0
Administrative Expenses,,Professional charges,H122007,Tax Consultancy,OSR,"625,000","625,000","625,000","625,000"
Administrative Expenses,,Professional charges,H122008,PCP Professional Charges,OSR,0,0,0,0
Administrative Expenses,,Travel,H104001,Travel,OSR,"1,339,300","1,339,300","1,339,300","1,339,300"
Administrative Expenses,,Travel,H104002,BoD-Travel,OSR,0,0,0,0
Administrative Expenses,,Travel,H119003,Perdiem,OSR,0,0,0,0
Administrative Expenses,,Travel,H104003,International travel,OSR,0,0,0,0
Administrative Expenses,,Boarding and lodging,H108001,Road Transportation,OSR,0,0,0,0
Administrative Expenses,,Boarding and lodging,H119001,Boarding & Lodging,OSR,"888,000","888,000","888,000","888,000"
Administrative Expenses,,Boarding and lodging,H119002,BoD-Boarding & Lodging,OSR,0,0,0,0
Administrative Expenses,,Meeting and conferences,H115001,Meeting & Conferences,OSR,"237,500","237,500","237,500","237,500"
Administrative Expenses,,Vehicle operations and maintenance,H108002,Vehicle Operations,OSR,"656,219","656,219","656,219","656,219"
Administrative Expenses,,Vehicle operations and maintenance,H108003,Vehicle Maintenance,OSR,"75,000","75,000","75,000","75,000"
Administrative Expenses,,Vehicle operations and maintenance,H108004,Vehicle Insurance - Amortization,OSR,"51,408","51,408","51,408","51,408"
Administrative Expenses,,Guards and Janitorial,H128001,Guards & Janitorial Services,OSR,"517,500","517,500","517,500","517,500"
Administrative Expenses,,Board and Committee Meetings,H130003,Board and Committee Meetings,OSR,"2,475,413","2,475,413","2,475,413","2,475,413"
Administrative Expenses,,Board and Committee Meetings,H109001,Directors - Trainings & Workshops,OSR,0,0,0,0
Administrative Expenses,,Board and Committee Meetings,H114001,Investment / Credit Committee,OSR,0,0,0,0
Administrative Expenses,,Assets' Insurance,H118001,Amortization - Asset and Vehicles Insurance,OSR,"62,500","62,500","62,500","62,500"
Administrative Expenses,,Directors' Insurance,H129006,Directors & officers liability insurance,OSR,"412,500","412,500","412,500","412,500"
Administrative Expenses,,IT related costs,H116006,IT Supplies,OSR,"37,500","37,500","37,500","37,500"
Administrative Expenses,,IT related costs,H125001,Software Annual Support Services,OSR,"649,963","649,963","649,963","649,963"
Administrative Expenses,,IT related costs,H116008,Printer Monthly Rental and Usage,OSR,"68,750","68,750","68,750","68,750"
Administrative Expenses,,IT related costs,H116007,IT - Repair and Maintenance,OSR,"31,250","31,250","31,250","31,250"
Administrative Expenses,,IT related costs,H125003,ERP support and maintenance cost,OSR,0,0,0,0
Administrative Expenses,,IT related costs,H122001,IT Consultancy,OSR,0,0,0,0
Administrative Expenses,,Employee reimbursements,H106003,Communication reimbursement,OSR,"568,425","568,425","568,425","568,425"
Administrative Expenses,,Employee reimbursements,H106007,Fuel reimbursement,OSR,"7,924,219","7,924,219","7,924,219","7,924,219"
Administrative Expenses,,Office Supplies,H116001,Kitchen Supplies,GF,"405,000","405,000","405,000","405,000"
Administrative Expenses,,Office Supplies,H116002,Cleaning Material,GF,"25,500","25,500","25,500","25,500"
Administrative Expenses,,Office Supplies,H116003,Postage & Courier,GF,"19,500","19,500","19,500","19,500"
Administrative Expenses,,Office Supplies,H116004,Office Supplies,GF,"142,500","142,500","142,500","142,500"
Administrative Expenses,,Fee & Subscription,H126001,Fee & Subscription,GF,"37,500","37,500","37,500","37,500"
Administrative Expenses,,Printing and stationery,H121002,Stationery Printing,GF,"50,000","50,000","50,000","50,000"
Administrative Expenses,,Utilities,H106001,Electricity,GF,"345,000","345,000","345,000","345,000"
Administrative Expenses,,Utilities,H106002,Telephone & Internet,GF,"68,063","68,063","68,063","68,063"
Administrative Expenses,,Utilities,H106006,Generator Expenses,GF,"222,750","222,750","222,750","222,750"
Administrative Expenses,,Office Rent,H117001,Office Rent- Islamabad,GF,"5,828,403","5,828,403","5,828,403","5,828,403"
Administrative Expenses,,Repair and maintenance,H124001,Office Repair & Maintenance,GF,"125,000","125,000","125,000","125,000"
