Month,EOD %,Capital Available for Deployment (PKR Million),"Capital Deployed
(PKR Million)"
Aug-23,95.39%,"24,419","23,294"
Sept-23,94.72%,"24,441","23,151"
Oct-23,92.12%,"25,119","23,141"
Nov-23,90.67%,"25,218","22,866"
Dec-23,85.81%,"26,116","22,411"
Jan-24,79.16%,"27,338","21,642"
Feb-24,78.46%,"27,162","21,311"
Mar-24,75.47%,"27,276","20,585"
Apr-24,75.23%,"28,266","21,264"
May-24,76.41%,"28,284","21,612"
Jun-24,79.68%,"28,891","23,020"
Jul-24,76.93%,"29,645","22,807"
Aug-24,74.31%,"29,989","22,285"
Sept-24,73.03%,"30,308","22,135"
Oct-24,71.05%,"31,133","22,120"
Nov-24,71.58%,"30,801","22,048"
Dec-24,74.13%,"33,450","24,796"
Jan-25,0.00%,"33,854","24,454"
Feb-25,72.28%,"33,820","24,444"
Mar-25,73.50%,"34,011","24,998"
Apr-25,74.02%,"34,099","25,239"
May-25,78.18%,"33,098","25,875"
Jun-25,80.85%,"33,299","26,922"
Jul-25,0.00%,"33,785","26,624"
Aug-25,78.03%,"33,819","26,390"
Sept-25,75.54%,"34,464","26,034"
Oct-25,74.40%,"34,820","25,907"
Nov-25,71.86%,"35,489","25,503"
Dec-25,75.43%,"36,189","27,296"
Jan-26,71.65%,"36,428","26,101"
Feb-26,71.63%,"36,630","26,238"
Mar-26,70.27%,"36,781","25,847"
Apr-26,70.06%,"37,027","25,941"
May-26,71.18%,"37,193","26,475"
Jun-26,75.60%,"36,515","27,605"
Jul-26,74.48%,"36,733","27,256"
Aug-26,74.29%,"36,606","27,194"
Period,EOD %,Capital Available for Deployment (PKR Million),"Capital Deployed
(PKR Million)"
This month,74.29%,"36,606","27,194"
Last 3 months avg,74.69%,"36,618","27,352"
Last 12 months avg,72.99%,"36,240","26,450"
Period,EOD %,,
Last month,74.20%,(July 2026),
Last 3 months avg,74.70%,(June 2026 - August 2027),
Last 12 months avg,73.00%,(September 2025 - August 2026),
