Employee Code,Report Number,Report Status,Expense Report Date,Report Total (PKR),Purpose,Report Submission Date
KRN228,18509890,Paid,2026-06-30,505621.0,Cash Advance settlement,2026-07-01
KRN222,18545342,Paid,2026-07-02,4500.0,Communication Allowance,2026-07-02
KRN030,18545636,Paid,2026-07-03,12000.0,Communication reimbursement CFO,2026-07-03
KRN173,17932392,Paid,2026-06-11,4490.0,Expense month of April,2026-07-03
KRN105,18545495,Paid,2026-06-15,937856.0,Training Budget Reimbursement,2026-07-04
KRN134,18545816,Paid,2026-07-06,4500.0,Communication Allowance July 2026,2026-07-06
KRN128,18580311,Paid,2026-07-08,9916.0,Communication Allowance - July 2026,2026-07-08
KRN177,18545613,Paid,2026-06-30,7000.0,Communication Allowance,2026-07-09
KRN197,18545847,Paid,2026-06-30,10000.0,Communication Allowance - Jun 2026,2026-07-09
KRN203,18546824,Paid,2026-07-09,2000.0,Reimbursement for Communication Allownce,2026-07-09
KRN211,18545570,Paid,2026-06-30,4500.0,Monthly Mobile Bill for June,2026-07-09
KRN142,18546833,Paid,2026-07-09,4500.0,Communication Allowance - July 2026,2026-07-09
KRN166,18546854,Paid,2026-07-09,223360.0,Travel Allowance,2026-07-09
KRN203,18546804,Pending manager approval,2026-07-09,4160.0,Reimbursement for Internet Bill,2026-07-09
KRN146,17900791,Paid,2026-06-30,36000.0,Travel Expense Report (July 25 - June 26),2026-07-09
KRN125,18509879,Paid,2026-06-30,384497.0,Training Fee and Air Ticket Reimbursement,2026-07-09
KRN142,18546853,Paid,2026-07-09,6006.0,Personal Training - Claude 2,2026-07-09
KRN167,18546178,Paid,2026-06-30,4500.0,Communication Allowance - June 2026,2026-07-10
KRN173,17894500,Paid,2026-06-30,8222.0,"Mobile and Internet Expense My , June 2026",2026-07-10
KRN071,18546237,Paid,2026-07-06,13441.0,Team Lunch (DI RMC) Jul 2026,2026-07-12
KRN071,18545717,Paid,2026-06-30,10000.0,Communication Allowance June 2026,2026-07-12
KRN225,18580683,Paid,2026-07-13,4500.0,Communication Allowance,2026-07-13
KRN218,18614026,Paid,2026-06-30,26360.0,,2026-07-13
KRN210,18628568,Paid,2026-07-15,8697.0,Communication (Internet + Phone) Jul 2026,2026-07-15
KRN053,18629135,Paid,2026-07-15,10000.0,Wellness Reimbursement July 2026,2026-07-15
KRN128,18580643,Paid,2026-07-13,332913.96,Reimbursement - Articulate 360,2026-07-15
KRN039,18628725,Paid,2026-07-15,10904.04,Communication Bill - July 2026,2026-07-15
KRN190,18723164,Paid,2026-07-20,6000.0,Daily Subsistence Allowance,2026-07-20
KRN229,18739166,Paid,2026-07-20,1500.0,Communication Allowance,2026-07-20
KRN229,18739157,Paid,2026-07-20,3000.0,Communication Allowance,2026-07-20
KRN190,18723204,Paid,2026-07-20,4500.0,Communication Allowance -- June-26,2026-07-20
KRN179,18723066,Paid,2026-07-20,4500.0,Communication Allowance,2026-07-20
KRN208,18739014,Paid,2026-07-20,9509.0,Communication allowance,2026-07-20
KRN190,18723217,Paid,2026-07-20,4500.0,Communication Allowance -- July-26,2026-07-20
KRN090,18546197,Paid,2026-06-30,7000.0,Communication Allowance - June 2026,2026-07-21
KRN203,18723270,Paid,2026-07-21,6000.0,Reimbursement of Travel allownce,2026-07-21
KRN156,18723613,Paid,2026-07-22,14000.0,Communication Allowance June & Jul-26 & Bag re-imbursement,2026-07-22
KRN220,18739373,Paid,2026-07-22,4500.0,Reimbursement of Communication allowance,2026-07-22
KRN228,18723895,Paid,2026-06-29,258000.0,Reimbursement for Office vehicle reimbursement DV843,2026-07-23
KRN174,18739676,Paid,2026-07-23,4500.0,Communication allowance - August 2026,2026-07-23
